,G8H,pG8H,pCPR,CPR,Predicted_stric_production
368,Ccal,ENO2,URE2,Cpo,7.813276403562538
369,Ccal,ENO2,URE2,Oeu,7.813276403562538
370,Ccal,ENO2,URE2,Cac,7.813276403562538
371,Opum,CYC1,CCW12,Cac,7.700162833759004
372,Opum,CYC1,CCW12,Cpo,7.700162833759004
373,Opum,CYC1,CCW12,Oeu,7.700162833759004
374,Opum,CYC1,CCW12,Ahu,7.700162833759004
375,Opum,CYC1,CCW12,Rse,7.700162833759004
376,Opum,CYC1,CCW12,Clo,7.700162833759004
377,Opum,CYC1,CCW12,Ara,7.700162833759004
378,Opum,CYC1,CCW12,Aan,7.700162833759004
379,Opum,CYC1,CCW12,Cro,7.700162833759004
380,Opum,ENO2,TPI1,Cro,7.636811811717603
381,Opum,ENO2,TPI1,Aan,7.636811811717603
382,Opum,ENO2,TPI1,Ara,7.636811811717603
383,Opum,ENO2,TPI1,Rse,7.636811811717603
384,Opum,ENO2,TPI1,Ahu,7.636811811717603
385,Opum,ENO2,TPI1,Clo,7.636811811717603
386,Opum,ENO2,TPI1,Cac,7.636811811717603
387,Opum,ENO2,TPI1,Ani,7.636811811717603
388,Opum,ENO2,TPI1,Oeu,7.636811811717603
389,Opum,CYC1,TPI1,Ara,7.316072104910306
390,Opum,CYC1,TPI1,Cro,7.316072104910306
391,Opum,CYC1,TPI1,Cpo,7.316072104910306
392,Opum,CYC1,TPI1,Oeu,7.316072104910306
393,Opum,CYC1,TPI1,Ani,7.316072104910306
394,Opum,CYC1,TPI1,Ahu,7.316072104910306
395,Opum,CYC1,TPI1,Rse,7.316072104910306
396,Opum,CYC1,TPI1,Clo,7.316072104910306
397,Opum,CYC1,TPI1,Aan,7.316072104910306
398,Cro,PCK1,TPI1,Cac,7.048901755267368
399,Cro,PCK1,TPI1,Cpo,7.048901755267368
400,Cro,PCK1,TPI1,Oeu,7.048901755267368
401,Cro,PCK1,TPI1,Ani,7.048901755267368
402,Cro,PCK1,TPI1,Ahu,7.048901755267368
403,Cro,PCK1,TPI1,Rse,7.048901755267368
404,Cro,PCK1,TPI1,Aan,7.048901755267368
405,Ccal,PCK1,CCW12,Ani,6.791507979273106
406,Ccal,PCK1,CCW12,Cac,6.791507979273106
407,Ccal,PCK1,CCW12,Oeu,6.791507979273106
408,Ccal,PCK1,CCW12,Ahu,6.791507979273106
409,Ccal,PCK1,CCW12,Rse,6.791507979273106
410,Ccal,PCK1,CCW12,Ara,6.791507979273106
411,Ccal,PCK1,CCW12,Aan,6.791507979273106
412,Ccal,PCK1,CCW12,Cro,6.791507979273106
413,Ccal,PCK1,CCW12,Cpo,6.791507979273106
414,Ccal,PCK1,CCW12,Clo,6.791507979273106
415,Oeu,PCK1,URE2,Cpo,6.501548585277543
416,Oeu,PCK1,URE2,Ahu,6.501548585277543
417,Oeu,PCK1,URE2,Ani,6.501548585277543
418,Oeu,PCK1,URE2,Oeu,6.501548585277543
419,Oeu,PCK1,URE2,Rse,6.501548585277543
420,Oeu,PCK1,URE2,Aan,6.501548585277543
421,Oeu,PCK1,URE2,Ara,6.501548585277543
422,Oeu,PCK1,URE2,Clo,6.501548585277543
423,Oeu,PCK1,URE2,Cro,6.501548585277543
424,Vmin,PCK1,TPI1,Clo,6.093567816763622
425,Vmin,PCK1,TPI1,Rse,6.093567816763622
426,Vmin,PCK1,TPI1,Cpo,6.093567816763622
427,Vmin,PCK1,TPI1,Oeu,6.093567816763622
428,Vmin,PCK1,TPI1,Cro,6.093567816763622
429,Vmin,PCK1,TPI1,Aan,6.093567816763622
430,Vmin,PCK1,TPI1,Ara,6.093567816763622
431,Vmin,PCK1,TPI1,Ahu,6.093567816763622
432,Vmin,PCK1,TPI1,Ani,6.093567816763622
433,Vmin,PCK1,TPI1,Cac,6.093567816763622
434,Rsep,RPL15B,CCW12,Rse,5.659144100797182
435,Rsep,RPL15B,CCW12,Cpo,5.659144100797182
436,Rsep,RPL15B,CCW12,Ahu,5.659144100797182
437,Rsep,RPL15B,CCW12,Cro,5.659144100797182
438,Rsep,RPL15B,CCW12,Aan,5.659144100797182
439,Rsep,RPL15B,CCW12,Clo,5.659144100797182
440,Rsep,RPL15B,CCW12,Ani,5.659144100797182
441,Rsep,RPL15B,CCW12,Cac,5.659144100797182
442,Opum,PCK1,TPI1,Rse,5.479164151639937
443,Opum,PCK1,TPI1,Clo,5.479164151639937
444,Opum,PCK1,TPI1,Cro,5.479164151639937
445,Opum,PCK1,TPI1,Oeu,5.479164151639937
446,Opum,PCK1,TPI1,Ahu,5.479164151639937
447,Opum,PCK1,TPI1,Ani,5.479164151639937
448,Opum,PCK1,TPI1,Cac,5.479164151639937
449,Opum,PCK1,TPI1,Aan,5.479164151639937
450,Opum,PCK1,TPI1,Cpo,5.479164151639937
451,Opum,PCK1,TPI1,Ara,5.479164151639937
452,Rsep,CYC1,MLS1,Cro,5.006981109069361
453,Rsep,CYC1,MLS1,Aan,5.006981109069361
454,Rsep,CYC1,MLS1,Ara,5.006981109069361
455,Rsep,CYC1,MLS1,Clo,5.006981109069361
456,Rsep,CYC1,MLS1,Cpo,5.006981109069361
457,Rsep,CYC1,MLS1,Oeu,5.006981109069361
458,Rsep,CYC1,MLS1,Cac,5.006981109069361
459,Rsep,CYC1,MLS1,Rse,5.006981109069361
460,Rsep,CYC1,MLS1,Ani,5.006981109069361
461,Opum,CYC1,URE2,Ara,4.559686239801922
462,Opum,CYC1,URE2,Cro,4.559686239801922
463,Opum,CYC1,URE2,Ani,4.559686239801922
464,Opum,CYC1,URE2,Cac,4.559686239801922
465,Opum,CYC1,URE2,Aan,4.559686239801922
466,Opum,CYC1,URE2,Cpo,4.559686239801922
467,Opum,CYC1,URE2,Oeu,4.559686239801922
468,Opum,CYC1,URE2,Ahu,4.559686239801922
469,Opum,CYC1,URE2,Rse,4.559686239801922
470,Opum,CYC1,URE2,Clo,4.559686239801922
471,Oeu,PCK1,MLS1,Oeu,4.295543685631783
472,Oeu,PCK1,MLS1,Ahu,4.295543685631783
473,Oeu,PCK1,MLS1,Clo,4.295543685631783
474,Oeu,PCK1,MLS1,Ara,4.295543685631783
475,Oeu,PCK1,MLS1,Aan,4.295543685631783
476,Oeu,PCK1,MLS1,Cro,4.295543685631783
477,Oeu,PCK1,MLS1,Cpo,4.295543685631783
478,Oeu,PCK1,MLS1,Cac,4.295543685631783
479,Oeu,PCK1,MLS1,Ani,4.295543685631783
480,Ccal,ENO2,TPI1,Aan,4.282867252299255
481,Ccal,ENO2,TPI1,Ani,4.282867252299255
482,Ccal,ENO2,TPI1,Ara,4.282867252299255
483,Ccal,ENO2,TPI1,Cpo,4.282867252299255
