ID,name,date,plate,row,col,size,seq,concentration,volume,features,location,reference,comments,description
,,,3,A,11,,,,,,ds_dna_plates,,,
,,,3,A,12,,,,,,ds_dna_plates,,,
,,,3,B,1,,,,,,ds_dna_plates,,,
,,,3,B,2,,,,,,ds_dna_plates,,,
,,,3,B,3,,,,,,ds_dna_plates,,,
,,,3,B,4,,,,,,ds_dna_plates,,,
,,,3,B,5,,,,,,ds_dna_plates,,,
,,,3,B,6,,,,,,ds_dna_plates,,,
,,,3,B,7,,,,,,ds_dna_plates,,,
,,,3,B,8,,,,,,ds_dna_plates,,,
,,,3,B,9,,,,,,ds_dna_plates,,,
,,,3,B,10,,,,,,ds_dna_plates,,,
,,,3,B,11,,,,,,ds_dna_plates,,,
,,,3,B,12,,,,,,ds_dna_plates,,,
,,,3,C,1,,,,,,ds_dna_plates,,,
,,,3,C,2,,,,,,ds_dna_plates,,,
,,,3,C,3,,,,,,ds_dna_plates,,,
,,,3,C,4,,,,,,ds_dna_plates,,,
,,,3,C,5,,,,,,ds_dna_plates,,,
,,,3,C,6,,,,,,ds_dna_plates,,,
,,,3,C,7,,,,,,ds_dna_plates,,,
,,,3,C,8,,,,,,ds_dna_plates,,,
,,,3,C,9,,,,,,ds_dna_plates,,,
,,,3,C,10,,,,,,ds_dna_plates,,,
,,,3,C,11,,,,,,ds_dna_plates,,,
,,,3,C,12,,,,,,ds_dna_plates,,,
,,,3,D,1,,,,,,ds_dna_plates,,,
,,,3,D,2,,,,,,ds_dna_plates,,,
,,,3,D,3,,,,,,ds_dna_plates,,,
,,,3,D,4,,,,,,ds_dna_plates,,,
,,,3,D,5,,,,,,ds_dna_plates,,,
,,,3,D,6,,,,,,ds_dna_plates,,,
,,,3,D,7,,,,,,ds_dna_plates,,,
,,,3,D,8,,,,,,ds_dna_plates,,,
,,,3,D,9,,,,,,ds_dna_plates,,,
,,,3,D,10,,,,,,ds_dna_plates,,,
,,,3,D,11,,,,,,ds_dna_plates,,,
,,,3,D,12,,,,,,ds_dna_plates,,,
,,,3,E,1,,,,,,ds_dna_plates,,,
,,,3,E,2,,,,,,ds_dna_plates,,,
,,,3,E,3,,,,,,ds_dna_plates,,,
,,,3,E,4,,,,,,ds_dna_plates,,,
,,,3,E,5,,,,,,ds_dna_plates,,,
,,,3,E,6,,,,,,ds_dna_plates,,,
,,,3,E,7,,,,,,ds_dna_plates,,,
,,,3,E,8,,,,,,ds_dna_plates,,,
,,,3,E,9,,,,,,ds_dna_plates,,,
,,,3,E,10,,,,,,ds_dna_plates,,,
,,,3,E,11,,,,,,ds_dna_plates,,,
,,,3,E,12,,,,,,ds_dna_plates,,,
,,,3,F,1,,,,,,ds_dna_plates,,,
,,,3,F,2,,,,,,ds_dna_plates,,,
,,,3,F,3,,,,,,ds_dna_plates,,,
,,,3,F,4,,,,,,ds_dna_plates,,,
,,,3,F,5,,,,,,ds_dna_plates,,,
,,,3,F,6,,,,,,ds_dna_plates,,,
,,,3,F,7,,,,,,ds_dna_plates,,,
,,,3,F,8,,,,,,ds_dna_plates,,,
,,,3,F,9,,,,,,ds_dna_plates,,,
,,,3,F,10,,,,,,ds_dna_plates,,,
